date,timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,returns,sma_20,sma_50,ema_12,ema_26,macd,signal,rsi,bollinger_upper,bollinger_middle,bollinger_lower,atr
2023-06-20,1687219200000,26844.35,28402.74,26652.0,28307.99,69666.95525,1687305599999,1912797983.53100540,1189024,35052.57462000,962782935.68992990,0,BTC,,,,28307.99,28307.99,0.0,0.0,,,,,
2023-06-21,1687305600000,28308.0,30800.0,28257.99,29993.89,108926.40412,1687391999999,3210301129.36629090,1872873,55846.96952000,1646165465.24493830,0,BTC,0.0595556236949355,,,28567.35923076923,28432.871481481485,134.48774928774583,26.897549857549166,,,,,
2023-06-22,1687392000000,29993.89,30500.0,29525.61,29884.92,59054.5646,1687478399999,1775822103.76325550,1146092,27902.93312000,839284260.17982540,0,BTC,-0.003633073269255882,,,28770.060887573964,28540.430631001378,229.6302565725855,67.44409120055644,,,,,
2023-06-23,1687478400000,29884.92,31431.94,29800.0,30688.5,73931.89635,1687564799999,2265077496.19546880,1338533,36289.31740000,1112439184.95065560,0,BTC,0.026889146766998273,,,29065.205366408736,28699.54688055683,365.6584858519054,127.08697013082624,,,,,
2023-06-24,1687564800000,30688.51,30800.0,30250.0,30527.43,30513.30135,1687651199999,933244397.70400210,776343,14497.56447000,443500647.92208220,0,BTC,-0.005248545872232224,,,29290.163002345853,28834.945630145212,455.21737220064097,192.7130505447892,,,,,
2023-06-25,1687651200000,30527.44,31046.01,30277.49,30462.66,30223.44801,1687737599999,926316644.41676650,789910,14627.97473000,448414594.55878750,0,BTC,-0.002121698420076701,,,29470.547155831107,28955.51706494927,515.030090881839,257.1764586121992,,,,,
2023-06-26,1687737600000,30462.67,30666.0,29930.0,30267.99,45180.41489,1687823999999,1367837657.54518250,954783,22277.58284000,674540668.57266040,0,BTC,-0.0063904465335593574,,,29593.23067031863,29052.737282360435,540.493387958195,313.83984448139836,,,,,
2023-06-27,1687824000000,30267.99,30994.97,30226.17,30692.44,42699.64157,1687910399999,1306206257.01935710,824373,21151.29517000,647203906.76564110,0,BTC,0.014023065291087988,,,29762.33979796192,29174.19674292633,588.1430550355872,368.70048659223613,,,,,
2023-06-28,1687910400000,30692.44,30709.74,29858.8,30077.41,40463.51937,1687996799999,1224103637.61325620,895470,19176.75428000,580226725.83338870,0,BTC,-0.020038485047132126,,,29810.812136737008,29241.10142863549,569.7107081015165,408.9025308940922,,,,,
2023-06-29,1687996800000,30077.4,30843.98,30049.98,30447.31,36330.62903,1688083199999,1107940389.92424060,758428,17834.38857000,543872730.26172690,0,BTC,0.012298266373334643,,,29908.734884931313,29330.450211699528,578.2846732317848,442.77895936163077,,,,,
2023-06-30,1688083200000,30447.31,31282.0,29500.0,30472.0,89419.07618,1688169599999,2726355505.50635030,1559366,44319.81254000,1351735332.85857690,0,BTC,0.0008109090753829484,,,29995.39105648034,29415.00945527734,580.3816012030002,470.2994877299046,,,,,
2023-07-01,1688169600000,30471.99,30661.6,30320.57,30585.9,17501.75075,1688255999999,533859338.13253830,567975,8102.13876000,247175148.95076600,0,BTC,0.003737857705434555,,,30086.238586252595,29501.742088219762,584.4964980328332,493.13888979049034,,,,,
2023-07-02,1688256000000,30585.9,30791.0,30155.0,30617.03,23286.41019,1688342399999,711031423.43344250,591533,10630.24740000,324616031.95816840,0,BTC,0.00101778924275564,,,30167.898803752196,29584.35600761089,583.5427961413043,511.2196710606532,,,,,
2023-07-03,1688342400000,30617.02,31380.0,30570.27,31156.2,43761.64311,1688428799999,1352635339.50439350,781855,20885.94331000,645698735.37734940,0,BTC,0.017610133967925767,,,30319.94514163647,29700.788895936013,619.1562457004584,532.8069859886142,77.72126223665283,,,,1066.8642857142856
2023-07-04,1688428800000,31156.2,31350.69,30620.0,30766.51,33206.11943,1688515199999,1028794008.52452120,779472,14107.36566000,437126154.08412250,0,BTC,-0.012507622880839175,,,30388.64742753855,29779.73119994075,608.9162275978015,548.0288343104517,72.24132066322652,,,,994.0035714285711
2023-07-05,1688515200000,30766.52,30878.07,30200.0,30504.81,33215.67122,1688601599999,1013694790.31705010,827926,15619.11716000,476478254.94341330,0,BTC,-0.008506002143239377,,,30406.518592532622,29833.44074068588,573.0778518467414,553.0386378177096,56.22660088916624,,,,860.8649999999998
2023-07-06,1688601600000,30504.8,31500.0,29850.45,29895.43,71319.6261,1688687999999,2181763648.99526960,1397042,33952.63237000,1039137135.29355100,0,BTC,-0.019976521735424746,,,30327.889578296836,29838.032537672112,489.8570406247236,540.4023183791124,50.114161451012706,,,,909.0907142857141
2023-07-07,1688688000000,29895.42,30449.0,29701.02,30344.7,34070.53895,1688774399999,1027461795.23320910,912948,14875.86309000,448638761.38389170,0,BTC,0.015028049437656454,,,30330.4757970204,29875.563460807512,454.9123362128885,523.3043219458677,45.95417080507059,,,,845.9507142857141
2023-07-08,1688774400000,30344.7,30386.81,30044.47,30284.63,13094.59042,1688860799999,395759717.57242780,480214,5990.91468000,181083431.19993060,0,BTC,-0.001979587868721766,,,30323.4225974788,29905.86468593288,417.5579115459186,502.15503986587794,47.07316132329755,,,,831.117857142857
2023-07-09,1688860800000,30284.63,30445.52,30061.12,30160.71,15388.50196,1688947199999,465781514.25894760,473168,7017.35093000,212433521.88972890,0,BTC,-0.004091844608965056,30306.923,,30298.389890174367,29924.74211660452,373.6477735698463,476.45358660667165,46.41131265495118,31438.13903794742,30306.923,29175.706962052576,803.6807142857144
2023-07-10,1688947200000,30160.71,31045.78,29950.0,30411.57,41262.87652,1689033599999,1254289037.74207280,896853,19574.23470000,595390893.14500850,0,BTC,0.008317443455409412,30412.102000000003,,30315.802214762927,29960.803441300483,354.99877346244466,452.1626239778263,51.6839621313767,31039.93060663518,30412.102000000003,29784.273393364827,829.3792857142859
2023-07-11,1689033600000,30411.57,30813.63,30300.0,30622.1,28476.83311,1689119999999,868966244.24126920,691213,13670.16079000,417204801.16296210,0,BTC,0.006922694224599457,30443.5125,,30362.924950953246,30009.78837157452,353.1365793787263,432.35741505800627,49.131441949600415,31045.573364133394,30443.5125,29841.451635866608,811.1528571428571
2023-07-12,1689120000000,30622.1,30983.25,30210.0,30380.0,38108.99669,1689206399999,1166497472.43317290,784195,18251.27965000,558742524.93122870,0,BTC,-0.007906054777431892,30468.266499999998,,30365.551881575826,30037.21145516159,328.3404264142373,411.55401732925253,54.11540376083627,31011.457877703633,30468.266499999998,29925.075122296363,805.6035714285712
2023-07-13,1689206400000,30380.0,31804.2,30251.0,31454.23,70772.51836,1689292799999,2194927210.22441580,1301632,36084.84178000,1119542855.15131710,0,BTC,0.03535977616853181,30506.552999999996,,30533.04082287185,30142.175791816288,390.86503105556403,407.41622007451485,61.49284122867889,31201.773412307066,30506.552999999996,29811.332587692927,859.8321428571427
2023-07-14,1689292800000,31454.23,31630.0,29900.0,30312.01,60749.48424,1689379199999,1869443273.74762430,1274387,28513.77996000,877642037.82244150,0,BTC,-0.036313716787853334,30495.782,,30499.036080891565,30154.7561035336,344.2799773579645,394.7889715312048,48.545061356778696,31196.295359716318,30495.782,29795.26864028368,856.117857142857
2023-07-15,1689379200000,30312.0,30390.9,30200.0,30289.52,14118.55329,1689465599999,427921094.30217830,488354,6430.54981000,194912673.91192170,0,BTC,-0.0007419501379155591,30487.125,,30466.80283767748,30164.738614382964,302.0642232945138,376.24402188386665,47.25917185153399,31193.615684812128,30487.125,29780.634315187872,845.3942857142857
2023-07-16,1689465600000,30289.52,30441.46,30064.29,30231.99,15760.1281,1689551999999,477189328.00729370,494225,7322.44372000,221713710.22324300,0,BTC,-0.0018993368003190625,30485.325,,30430.677785727097,30169.720198502746,260.9575872243513,353.1867349519636,46.456574074755785,31194.34538968528,30485.325,29776.30461031472,826.9064285714285
2023-07-17,1689552000000,30232.0,30336.96,29659.2,30138.0,30882.76839,1689638399999,929647644.24334300,816466,14352.21893000,432105955.45477030,0,BTC,-0.0031089584245033164,30457.603000000003,,30385.65043407677,30167.37055416921,218.27987990756083,326.20536394308306,39.793463486220865,31175.823012240788,30457.603000000003,29739.382987759218,817.4799999999998
2023-07-18,1689638400000,30138.01,30239.78,29512.0,29859.13,30003.8601,1689724799999,897157095.47741110,754775,13771.19621000,411748868.06291270,0,BTC,-0.009253102395646695,30446.689000000002,,30304.647290372654,30144.537920527047,160.10936984560612,292.9861651235877,40.69766011367273,31195.228748968122,30446.689000000002,29698.149251031882,817.2721428571427
2023-07-19,1689724800000,29859.14,30189.09,29761.96,29909.21,25657.36137,1689811199999,769254865.28511510,617415,12260.98321000,367624217.91743550,0,BTC,0.0016772089474810237,30419.783999999996,,30243.810784161476,30127.106222710227,116.7045614512499,257.72984438912016,43.61703039733876,31205.965517714438,30419.783999999996,29633.602482285554,799.347857142857
2023-07-20,1689811200000,29909.21,30417.46,29570.96,29800.0,37540.68193,1689897599999,1125950643.71164950,749723,18061.33493000,541742405.52049780,0,BTC,-0.003651383637347849,30386.183999999997,,30175.532201982787,30102.8761321391,72.65606984368787,220.71508948003373,48.85448351526995,31219.024800517305,30386.183999999997,29553.34319948269,741.9871428571429
2023-07-21,1689897600000,29800.0,30061.7,29726.34,29901.72,23881.40865,1689983999999,713123417.76121390,555611,11566.38840000,345404092.64590830,0,BTC,0.003413422818792089,30351.975,,30133.407247831587,30087.975677906572,45.43156992501463,185.65838556902992,44.198521669434385,31206.206180135556,30351.975,29497.74381986444,712.5142857142857
2023-07-22,1689984000000,29901.72,29999.0,29625.1,29794.0,14660.40467,1690070399999,437785700.33961020,423988,6725.50525000,200848375.44856950,0,BTC,-0.0036024683529910506,30310.8235,,30081.19074816519,30066.199701765345,14.9910463998458,151.5249177351931,43.65368247586967,31190.21801021771,30310.8235,29431.428989782285,714.7685714285716
